class,subclass,sample,cohort,chip
MNG,myclass,GSM7056656,GSE225810,V2
MNG,NA,GSM7056657,GSE225810,V2
MNG,NA,GSM7056658,GSE225810,V2
MNG,NA,GSM7056659,GSE225810,V2
MB,WNT,GSM7056660,GSE225810,V2
MB,WNT,GSM7056661,GSE225810,V2
MB,WNT,GSM7056662,GSE225810,V2
MB,WNT,GSM7056663,GSE225810,V2
MB,WNT,GSM7056664,GSE225810,V2
MB,WNT,GSM7056665,GSE225810,V2
MB,WNT,GSM7056666,GSE225810,V2
MB,WNT,GSM7056667,GSE225810,V2
MB,WNT,GSM7056668,GSE225810,V2
MB,WNT,GSM7056669,GSE225810,V2
MB,SHHb,GSM7056670,GSE225810,V2
MB,SHHb,GSM7056671,GSE225810,V2
MB,SHHb,GSM7056672,GSE225810,V2
MB,SHHb,GSM7056673,GSE225810,V2
MB,SHHb,GSM7056674,GSE225810,V2
MB,SHHb,GSM7056675,GSE225810,V2
MB,SHHb,GSM7056676,GSE225810,V2
MB,SHHb,GSM7056677,GSE225810,V2
MB,SHHa,GSM7056678,GSE225810,V2
MB,SHHa,GSM7056679,GSE225810,V2
MB,SHHa,GSM7056680,GSE225810,V2
MB,SHHa,GSM7056681,GSE225810,V2
MB,SHHa,GSM7056682,GSE225810,V2
MB,SHHa,GSM7056683,GSE225810,V2
MB,SHHa,GSM7056684,GSE225810,V2
MB,SHHa,GSM7056685,GSE225810,V2
MB,SHHa,GSM7056686,GSE225810,V2
MB,G4,GSM7056687,GSE225810,V2
MB,G4,GSM7056688,GSE225810,V2
MB,G4,GSM7056689,GSE225810,V2
MB,G4,GSM7056690,GSE225810,V2
MB,G4,GSM7056691,GSE225810,V2
MB,G4,GSM7056692,GSE225810,V2
MB,G4,GSM7056693,GSE225810,V2
MB,G4,GSM7056694,GSE225810,V2
MB,G4,GSM7056695,GSE225810,V2
MB,G4,GSM7056696,GSE225810,V2
MB,G4,GSM7056697,GSE225810,V2
MB,G4,GSM7056698,GSE225810,V2
